ws_id;ws_name;ws_origin;ws_lat;ws_lon
5eb346bdebd0050e38685f8a;Tegubenna Meskel;NMA-EIAR;11.65181;38.73482
5eb346bdebd0050e38685f8b;Werkaye;NMA-EIAR;11.74431;38.75483
5eb346bdebd0050e38685f8c;Fentrie;NMA-EIAR;11.75145;38.80658
5eb346bdebd0050e38685f8d;Weketa;NMA-EIAR;11.72147;38.80398
5eb346bdebd0050e38685f8e;Jirle;NMA-EIAR;11.69068;38.84096
5eb346bdebd0050e38685f8f;Akat;NMA-EIAR;11.69372;38.87633
5eb346bdebd0050e38685f90;Mesfina;NMA-EIAR;11.75637;38.89695
5eb346bdebd0050e38685f91;Taja;NMA-EIAR;11.73511;38.93273
5eb346bdebd0050e38685f92;Timtimat;NMA-EIAR;11.71188;38.96794
5eb346bdebd0050e38685f93;Hamusit;NMA-EIAR;11.76506;38.99983
5eb346bdebd0050e38685f94;Nubetalalach (019);NMA-EIAR;11.78173;39.18543
5eb346bdebd0050e38685f95;Washa Mikael;NMA-EIAR;11.74627;39.22492
5eb346bdebd0050e38685f96;Jeberana Goza(21);NMA-EIAR;11.71206;39.19015
5eb346bdebd0050e38685f97;Yeweynnayenket(22);NMA-EIAR;11.71137;39.15046
5eb346bdebd0050e38685f98;Talet (018);NMA-EIAR;11.75621;39.10553
5eb346bdebd0050e38685f99;Yegnd (23);NMA-EIAR;11.67698;39.14542
5eb346bdebd0050e38685f9a;Feresmegriya[24];NMA-EIAR;11.65479;39.11463
5eb346bdebd0050e38685f9b;Wegedet (09);NMA-EIAR;11.66738;39.07586
5eb346bdebd0050e38685f9c;Abdikom (010);NMA-EIAR;11.70646;39.05892
5eb346bdebd0050e38685f9d;Kurkursulula(011);NMA-EIAR;11.7077;39.01999
5eb346bdebd0050e38685f9e;Ganchere (08);NMA-EIAR;11.63446;39.04383
5eb346bdebd0050e38685f9f;Semerna (07);NMA-EIAR;11.59123;39.05246
5eb346bdebd0050e38685fa0;Chana (06);NMA-EIAR;11.61414;39.01453
5eb346bdebd0050e38685fa1;Beteyuhans (012);NMA-EIAR;11.6551;38.96932
5eb346bdebd0050e38685fa2;Delenga{05};NMA-EIAR;11.57675;38.99472
5eb346bdebd0050e38685fa3;Yewetet;NMA-EIAR;11.54949;38.96508
5eb346bdebd0050e38685fa4;Betehor (03);NMA-EIAR;11.57434;38.94672
5eb346bdebd0050e38685fa5;Dorera (02);NMA-EIAR;11.56315;38.90982
5eb346bdebd0050e38685fa6;Kongeter( 01);NMA-EIAR;11.61556;38.92899
5eb346bdebd0050e38685fa7;Gashena (13);NMA-EIAR;11.66885;38.91295
5eb346bdebd0050e38685fa8;Yenejaknkna (014);NMA-EIAR;11.61875;38.88635
5eb346bdebd0050e38685fa9;Yenejamswgo (027);NMA-EIAR;11.58912;38.86152
5eb346bdebd0050e38685faa;Meley (017);NMA-EIAR;11.66764;38.80189
5eb346bdebd0050e38685fab;Kona (016);NMA-EIAR;11.6246;38.79044
5eb346bdebd0050e38685fac;Zugora (015);NMA-EIAR;11.59521;38.82603
5eb346bdebd0050e38685fad;Selam amba;NMA-EIAR;11.775;39.28051
5eb346bdebd0050e38685fae;Lam dinigay;NMA-EIAR;11.81614;39.3422
5eb346bdebd0050e38685faf;Sekolho;NMA-EIAR;11.80089;39.37932
5eb346bdebd0050e38685fb0;Kembeh;NMA-EIAR;11.77574;39.40357
